Failed File,Count
Clover_reverse_no_hints.dfy,2
Clover_rotate_no_hints.dfy,2
Clover_selectionsort_no_hints.dfy,3
Clover_set_to_seq_no_hints.dfy,3
Clover_slope_search_no_hints.dfy,4
Clover_two_sum_no_hints.dfy,2
Correctness_tmp_tmpwqvg5q_4_HoareLogic_exam_no_hints.dfy,5
Correctness_tmp_tmpwqvg5q_4_MethodCalls_q1_no_hints.dfy,5
Correctness_tmp_tmpwqvg5q_4_Sorting_Tangent_no_hints.dfy,4
Dafny-Exercises_tmp_tmpjm75muf__Session10Exercises_ExerciseBarrier_no_hints.dfy,3
Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseExp_no_hints.dfy,4
Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseFibonacci_no_hints.dfy,3
Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExercisePositive_no_hints.dfy,3
Dafny-Exercises_tmp_tmpjm75muf__Session2Exercises_ExerciseSquare_root_no_hints.dfy,4
Dafny-Exercises_tmp_tmpjm75muf__Session3Exercises_ExerciseMaximum_no_hints.dfy,2
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseAllEqual_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseContained_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExerciseFirstNegative_no_hints.dfy,4
Dafny-Exercises_tmp_tmpjm75muf__Session4Exercises_ExercisefirstZero_no_hints.dfy,2
Dafny-Exercises_tmp_tmpjm75muf__Session5Exercises_ExerciseSumElems_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExerciseCountEven_no_hints.dfy,2
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExerciseCountMin_no_hints.dfy,2
Dafny-Exercises_tmp_tmpjm75muf__Session6Exercises_ExercisePeekSum_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBinarySearch_no_hints.dfy,4
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseBubbleSort_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseReplace_no_hints.dfy,3
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseSelSort_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session7Exercises_ExerciseSeparate_no_hints.dfy,2
Dafny-Exercises_tmp_tmpjm75muf__Session8Exercises_ExerciseInsertionSort_no_hints.dfy,5
Dafny-Exercises_tmp_tmpjm75muf__Session9Exercises_ExerciseSeqMaxSum_no_hints.dfy,5
Dafny-Grind75_tmp_tmpsxfz3i4r_problems_twoSum_no_hints.dfy,4
Dafny-Practice_tmp_tmphnmt4ovh_BST_no_hints.dfy,5
Dafny-Practice_tmp_tmphnmt4ovh_Pattern Matching_no_hints.dfy,5
Dafny-Projects_tmp_tmph399drhy_p2_arraySplit_no_hints.dfy,3
Dafny-VMC_tmp_tmpzgqv0i1u_src_Math_Exponential_no_hints.dfy,3
Dafny-VMC_tmp_tmpzgqv0i1u_src_Math_Helper_no_hints.dfy,5
Dafny-demo_tmp_tmpkgr_dvdi_Dafny_BinarySearch_no_hints.dfy,1
Dafny-experiences_tmp_tmp150sm9qy_dafny_started_tutorial_dafny_tutorial_array_no_hints.dfy,2
Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_no_hints.dfy,5
DafnyExercises_tmp_tmpd6qyevja_Part1_Q1_no_hints.dfy,2
DafnyPrograms_tmp_tmp74_f9k_c_automaton_no_hints.dfy,5
DafnyPrograms_tmp_tmp74_f9k_c_invertarray_no_hints.dfy,3
DafnyPrograms_tmp_tmp74_f9k_c_map-multiset-implementation_no_hints.dfy,5
DafnyPrograms_tmp_tmp74_f9k_c_prime-database_no_hints.dfy,3
DafnyProjects_tmp_tmp2acw_s4s_CombNK_no_hints.dfy,5
DafnyProjects_tmp_tmp2acw_s4s_RawSort_no_hints.dfy,4
DafnyProjects_tmp_tmp2acw_s4s_findMax_no_hints.dfy,2
DafnyProjects_tmp_tmp2acw_s4s_longestPrefix_no_hints.dfy,2
DafnyProjects_tmp_tmp2acw_s4s_partitionOddEven_no_hints.dfy,2
DafnyProjects_tmp_tmp2acw_s4s_sqrt_no_hints.dfy,5
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_A2_Q1_trimmed copy - 副本_no_hints.dfy,5
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_Week4__LinearSearch_no_hints.dfy,1
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_week4_tute_ex4_no_hints.dfy,5
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_week5_ComputePower_no_hints.dfy,2
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_a3 copy 2_no_hints.dfy,5
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_a3_search_findPositionOfIndex_no_hints.dfy,2
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week10_ExtensibleArray_no_hints.dfy,5
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week8_CheckSumCalculator_no_hints.dfy,5
Dafny_Programs_tmp_tmp99966ew4_binary_search_no_hints.dfy,1
Dafny_Programs_tmp_tmp99966ew4_lemma_no_hints.dfy,5
Dafny_Programs_tmp_tmp99966ew4_trig_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_AI_agent_validation_examples_no_hints.dfy,5
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_ComputePower_no_hints.dfy,3
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_CopyMatrix_no_hints.dfy,5
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_Cube_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_DoubleArray_no_hints.dfy,3
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_IncrementMatrix_no_hints.dfy,4
Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_RotateRight_no_hints.dfy,4
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_28_no_hints.dfy,4
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_37_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_38_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_41_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_BinarySearch_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_SumArray_no_hints.dfy,4
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_error_data_completion_07_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_error_data_completion_11_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_normal_data_completion_MaxPerdV2_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_15_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_ComputePower_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_Count_no_hints.dfy,3
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_LinearSearch_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_Minimum_no_hints.dfy,3
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_Mult_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_rand_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_LoopInvariant_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_solved_1_select_no_hints.dfy,3
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_07_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_11_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_15_no_hints.dfy,1
Dafny_Verify_tmp_tmphq7j0row_dataset_bql_exampls_Min_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_dataset_bql_exampls_SmallNum_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_dataset_bql_exampls_Square_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_dataset_detailed_examples_SelectionSort_no_hints.dfy,2
Dafny_Verify_tmp_tmphq7j0row_dataset_error_data_real_error_IsEven_success_1_no_hints.dfy,2
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 1_LinearSearch_no_hints.dfy,2
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 2_BinarySearchDec_no_hints.dfy,3
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 3_InsertionSortMultiset_no_hints.dfy,5
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 3_SelectionSortMultiset_no_hints.dfy,5
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8_no_hints.dfy,2
Dafny_tmp_tmp0wu8wmfr_tests_InsertionSortSeq_no_hints.dfy,5
Dafny_tmp_tmp0wu8wmfr_tests_Search1000_no_hints.dfy,5
Dafny_tmp_tmp0wu8wmfr_tests_SumIntsLoop_no_hints.dfy,4
Dafny_tmp_tmpmvs2dmry_SlowMax_no_hints.dfy,3
Dafny_tmp_tmpmvs2dmry_examples1_no_hints.dfy,5
Dafny_tmp_tmpmvs2dmry_examples2_no_hints.dfy,3
Dafny_tmp_tmpmvs2dmry_pancakesort_findmax_no_hints.dfy,2
Dafny_tmp_tmpmvs2dmry_pancakesort_flip_no_hints.dfy,5
Dafny_tmp_tmpv_d3qi10_2_min_no_hints.dfy,2
Dafny_tmp_tmpv_d3qi10_3_cumsum_no_hints.dfy,2
FMSE-2022-2023_tmp_tmp6_x_ba46_Lab10_Lab10_no_hints.dfy,5
FMSE-2022-2023_tmp_tmp6_x_ba46_Lab1_Lab1_no_hints.dfy,2
FMSE-2022-2023_tmp_tmp6_x_ba46_Lab2_Lab2_no_hints.dfy,4
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Exercise3_Increment_Array_no_hints.dfy,2
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Exercise4_Find_Max_no_hints.dfy,3
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Exercise6_Binary_Search_no_hints.dfy,1
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Insertion_Sort_Normal_no_hints.dfy,4
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Insertion_Sorted_Standard_no_hints.dfy,5
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Merge_Sort_no_hints.dfy,5
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Quick_Sort_no_hints.dfy,5
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Selection_Sort_Standard_no_hints.dfy,5
Final-Project-Dafny_tmp_tmpmcywuqox_Final_Project_3_no_hints.dfy,1
FlexWeek_tmp_tmpc_tfdj_3_ex2_no_hints.dfy,5
FlexWeek_tmp_tmpc_tfdj_3_ex3_no_hints.dfy,4
FlexWeek_tmp_tmpc_tfdj_3_ex4_no_hints.dfy,4
FlexWeek_tmp_tmpc_tfdj_3_reverse_no_hints.dfy,3
Formal-Methods-Project_tmp_tmphh2ar2xv_Factorial_no_hints.dfy,5
Formal-Verification-Project_tmp_tmp9gmwsmyp_strings3_no_hints.dfy,5
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings1_no_hints.dfy,4
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings3_no_hints.dfy,5
Formal-methods-of-software-development_tmp_tmppryvbyty_Bloque 1_Lab3_no_hints.dfy,5
Formal-methods-of-software-development_tmp_tmppryvbyty_Bloque 2_Lab6_no_hints.dfy,5
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints.dfy,5
FormalMethods_tmp_tmpvda2r3_o_dafny_Invariants_ex1_no_hints.dfy,3
FormalMethods_tmp_tmpvda2r3_o_dafny_Invariants_ex2_no_hints.dfy,2
Formal_Verification_With_Dafny_tmp_tmp5j79rq48_LimitedStack_no_hints.dfy,5
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Binary Search_binary_search_no_hints.dfy,1
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Largest Sum_largest_sum_no_hints.dfy,5
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Sort Array_sort_array_no_hints.dfy,4
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Two Sum_two_sum_no_hints.dfy,5
Invoker_tmp_tmpypx0gs8x_dafny_abstract-interpreter_SimpleVerifier_no_hints.dfy,4
M2_tmp_tmp2laaavvl_Software Verification_Exercices_Exo4-CountAndReturn_no_hints.dfy,2
M2_tmp_tmp2laaavvl_Software Verification_Exercices_Exo7-ComputeSum_no_hints.dfy,2
M2_tmp_tmp2laaavvl_Software Verification_Exercices_Exo9-Carre_no_hints.dfy,2
MFDS_tmp_tmpvvr5y1t9_Assignments_Ass-1-2020-21-Sol-eGela_no_hints.dfy,5
MFES_2021_tmp_tmpuljn8zd9_Exams_Special_Exam_03_2020_4_CatalanNumbers_no_hints.dfy,4
MFES_2021_tmp_tmpuljn8zd9_FCUL_Exercises_10_find_no_hints.dfy,1
MFES_2021_tmp_tmpuljn8zd9_FCUL_Exercises_8_sum_no_hints.dfy,2
MFES_2021_tmp_tmpuljn8zd9_PracticalClasses_TP3_2_Insertion_Sort_no_hints.dfy,5
MFES_2021_tmp_tmpuljn8zd9_TheoreticalClasses_Power_no_hints.dfy,4
MFS_tmp_tmpmmnu354t_Praticas_TP9_Power_no_hints.dfy,4
MFS_tmp_tmpmmnu354t_Testes anteriores_T2_ex5_2020_2_no_hints.dfy,3
MIEIC_mfes_tmp_tmpq3ho7nve_TP3_binary_search_no_hints.dfy,1
MIEIC_mfes_tmp_tmpq3ho7nve_exams_appeal_20_p4_no_hints.dfy,1
MIEIC_mfes_tmp_tmpq3ho7nve_exams_mt2_19_p4_no_hints.dfy,2
MIEIC_mfes_tmp_tmpq3ho7nve_exams_mt2_19_p5_no_hints.dfy,3
MIEIC_mfes_tmp_tmpq3ho7nve_exams_special_20_p5_no_hints.dfy,2
Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex1_no_hints.dfy,2
Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex2_no_hints.dfy,2
Metodos_Formais_tmp_tmpbez22nnn_Aula_4_ex1_no_hints.dfy,3
Metodos_Formais_tmp_tmpbez22nnn_Aula_4_ex3_no_hints.dfy,3
Metodos_Formais_tmp_tmpql2hwcsh_Arrays_explicacao_no_hints.dfy,1
Metodos_Formais_tmp_tmpql2hwcsh_Arrays_somatorioArray_no_hints.dfy,2
Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_fatorial2_no_hints.dfy,3
Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_fibonacci_no_hints.dfy,2
Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_multiplicador_no_hints.dfy,2
Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_potencia_no_hints.dfy,2
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_mod2_no_hints.dfy,4
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_mod_no_hints.dfy,4
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_pow_no_hints.dfy,2
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_sum_no_hints.dfy,2
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p5_no_hints.dfy,5
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p6_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_ArrayMap_no_hints.dfy,2
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_GenericMax_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_InsertionSort_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_MatrixMultiplication_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_OneHundredPrisonersAndALightbulb_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_Percentile_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_ReverseString_no_hints.dfy,3
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_demo_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_ProgramProofs_ch15_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_examples_bubblesort_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_examples_relativeOrder_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_examples_simpleMultiplication_no_hints.dfy,2
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_BoatsToSavePeople_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_FindPivotIndex_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_ReverseLinkedList_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_lc-remove-element_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_pathSum_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_stairClimbing_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_validAnagram_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_lib_seq_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_BubbleSort_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_BubbleSort_sol_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_no_hints.dfy,3
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_find_max_no_hints.dfy,3
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_sumto_sol_no_hints.dfy,3
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny0_GhostITECompilation_no_hints.dfy,3
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_BDD_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_ListContents_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_COST-verif-comp-2011-2-MaxTree-class_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_COST-verif-comp-2011-3-TwoDuplicates_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_Classics_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_MajorityVote_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_StoreAndRetrieve_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_CachedContainer_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_CalcExample_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_InfiniteTrees_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_Iter_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_Streams_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ACL2-extractor_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_Primes_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from_dafny_main_repo_dafny0_snapshots_Inputs_Snapshots1_no_hints.dfy,4
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_lightening_verifier_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_mathematical objects verification_examples_fast_exp_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_mathematical objects verification_examples_interval_example_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_pregel algorithms_skeleton_nondet-permutation_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_vampire project_original_Searching_no_hints.dfy,1
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_KatzManna_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_SumOfCubes_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_verified algorithms_inductive_props_no_hints.dfy,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_verified algorithms_lol_sort_no_hints.dfy,5
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_04_Hoangkim_ex_04_Hoangkim_no_hints.dfy,5
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_05_Hoangkim_ex_05_Hoangkim_no_hints.dfy,3
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_06_Hoangkim_ex06-solution_no_hints.dfy,3
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_06_Hoangkim_ex_06_hoangkim_no_hints.dfy,5
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_07_Hoangkim_ex07_Hoangkim_no_hints.dfy,4
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_10_Hoangkim_ex10_hoangkim_no_hints.dfy,3
Programmverifikation-und-synthese_tmp_tmppurk6ime_example_DafnyIntro_01_Simple_Loops_no_hints.dfy,1
ProjectosCVS_tmp_tmp_02_gmcw_Handout 1_CVS_handout1_55754_55780_no_hints.dfy,4
QS_BoilerPlate1_tmp_tmpa29vtz9__Ex2_no_hints.dfy,5
SENG2011_tmp_tmpgk5jq85q_ass1_ex8_no_hints.dfy,1
SENG2011_tmp_tmpgk5jq85q_ass2_ex3_no_hints.dfy,4
SENG2011_tmp_tmpgk5jq85q_ass2_ex5_no_hints.dfy,5
SENG2011_tmp_tmpgk5jq85q_exam_ex2_no_hints.dfy,3
SENG2011_tmp_tmpgk5jq85q_exam_ex3_no_hints.dfy,1
SENG2011_tmp_tmpgk5jq85q_exam_ex4_no_hints.dfy,2
SENG2011_tmp_tmpgk5jq85q_flex_ex1_no_hints.dfy,1
SENG2011_tmp_tmpgk5jq85q_flex_ex2_no_hints.dfy,2
SENG2011_tmp_tmpgk5jq85q_flex_ex5_no_hints.dfy,2
SENG2011_tmp_tmpgk5jq85q_p1_no_hints.dfy,1
SENG2011_tmp_tmpgk5jq85q_p2_no_hints.dfy,4
SiLemma_tmp_tmpfxtryv2w_utils_no_hints.dfy,2
Software-Verification_tmp_tmpv4ueky2d_Best Time to Buy and Sell Stock_best_time_to_buy_and_sell_stock_no_hints.dfy,3
Software-Verification_tmp_tmpv4ueky2d_Contains Duplicate_contains_duplicate_no_hints.dfy,4
Software-Verification_tmp_tmpv4ueky2d_Counting Bits_counting_bits_no_hints.dfy,1
Software-Verification_tmp_tmpv4ueky2d_Longest Increasing Subsequence_longest_increasing_subsequence_no_hints.dfy,5
Software-Verification_tmp_tmpv4ueky2d_Non-overlapping Intervals_non_overlapping_intervals_no_hints.dfy,5
Software-Verification_tmp_tmpv4ueky2d_Remove Duplicates from Sorted Array_remove_duplicates_from_sorted_array_no_hints.dfy,5
Software-Verification_tmp_tmpv4ueky2d_Remove Element_remove_element_no_hints.dfy,3
Software-Verification_tmp_tmpv4ueky2d_Valid Anagram_valid_anagram_no_hints.dfy,3
Software-Verification_tmp_tmpv4ueky2d_Valid Palindrome_valid_panlindrome_no_hints.dfy,3
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula1_no_hints.dfy,5
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula3_no_hints.dfy,3
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula5_no_hints.dfy,5
