ID,Failed File
134,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_a3 copy 2_no_hints.dfy
137,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week10_ExtensibleArray_no_hints.dfy
138,Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week8_CheckSumCalculator_no_hints.dfy
143,Dafny_Programs_tmp_tmp99966ew4_lemma_no_hints.dfy
146,Dafny_Verify_tmp_tmphq7j0row_AI_agent_validation_examples_no_hints.dfy
148,Dafny_Verify_tmp_tmphq7j0row_AI_agent_verify_examples_CopyMatrix_no_hints.dfy
153,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_28_no_hints.dfy
158,Dafny_Verify_tmp_tmphq7j0row_Fine_Tune_Examples_50_examples_SumArray_no_hints.dfy
168,Dafny_Verify_tmp_tmphq7j0row_Generated_Code_Mult_no_hints.dfy
189,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 3_InsertionSortMultiset_no_hints.dfy
190,Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 3_SelectionSortMultiset_no_hints.dfy
193,Dafny_tmp_tmp0wu8wmfr_tests_InsertionSortSeq_no_hints.dfy
194,Dafny_tmp_tmp0wu8wmfr_tests_Search1000_no_hints.dfy
198,Dafny_tmp_tmpmvs2dmry_SlowMax_no_hints.dfy
199,Dafny_tmp_tmpmvs2dmry_examples1_no_hints.dfy
200,Dafny_tmp_tmpmvs2dmry_examples2_no_hints.dfy
202,Dafny_tmp_tmpmvs2dmry_pancakesort_flip_no_hints.dfy
205,FMSE-2022-2023_tmp_tmp6_x_ba46_Lab10_Lab10_no_hints.dfy
207,FMSE-2022-2023_tmp_tmp6_x_ba46_Lab2_Lab2_no_hints.dfy
213,Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Insertion_Sorted_Standard_no_hints.dfy
214,Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Merge_Sort_no_hints.dfy
215,Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Quick_Sort_no_hints.dfy
216,Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Selection_Sort_Standard_no_hints.dfy
218,FlexWeek_tmp_tmpc_tfdj_3_ex2_no_hints.dfy
223,Formal-Methods-Project_tmp_tmphh2ar2xv_Factorial_no_hints.dfy
224,Formal-Verification-Project_tmp_tmp9gmwsmyp_strings3_no_hints.dfy
225,Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings1_no_hints.dfy
226,Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings3_no_hints.dfy
227,Formal-methods-of-software-development_tmp_tmppryvbyty_Bloque 1_Lab3_no_hints.dfy
228,Formal-methods-of-software-development_tmp_tmppryvbyty_Bloque 2_Lab6_no_hints.dfy
229,Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints.dfy
233,Formal_Verification_With_Dafny_tmp_tmp5j79rq48_LimitedStack_no_hints.dfy
235,HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Largest Sum_largest_sum_no_hints.dfy
237,HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Two Sum_two_sum_no_hints.dfy
242,MFDS_tmp_tmpvvr5y1t9_Assignments_Ass-1-2020-21-Sol-eGela_no_hints.dfy
246,MFES_2021_tmp_tmpuljn8zd9_PracticalClasses_TP3_2_Insertion_Sort_no_hints.dfy
248,MFS_tmp_tmpmmnu354t_Praticas_TP9_Power_no_hints.dfy
249,MFS_tmp_tmpmmnu354t_Testes anteriores_T2_ex5_2020_2_no_hints.dfy
254,MIEIC_mfes_tmp_tmpq3ho7nve_exams_special_20_p5_no_hints.dfy
261,Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_fatorial2_no_hints.dfy
265,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_mod2_no_hints.dfy
266,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_extra_mod_no_hints.dfy
271,Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p5_no_hints.dfy
275,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_GenericMax_no_hints.dfy
276,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_InsertionSort_no_hints.dfy
277,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_MatrixMultiplication_no_hints.dfy
279,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_OneHundredPrisonersAndALightbulb_no_hints.dfy
280,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_Percentile_no_hints.dfy
284,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_ProgramProofs_ch15_no_hints.dfy
285,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_examples_bubblesort_no_hints.dfy
286,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_examples_relativeOrder_no_hints.dfy
289,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_BoatsToSavePeople_no_hints.dfy
290,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_FindPivotIndex_no_hints.dfy
291,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_ReverseLinkedList_no_hints.dfy
292,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_lc-remove-element_no_hints.dfy
294,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_stairClimbing_no_hints.dfy
295,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_validAnagram_no_hints.dfy
296,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_lib_seq_no_hints.dfy
298,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_BubbleSort_no_hints.dfy
299,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_BubbleSort_sol_no_hints.dfy
302,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_find_max_no_hints.dfy
307,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_BDD_no_hints.dfy
308,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_ListContents_no_hints.dfy
311,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_COST-verif-comp-2011-3-TwoDuplicates_no_hints.dfy
312,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_Classics_no_hints.dfy
313,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_MajorityVote_no_hints.dfy
314,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_StoreAndRetrieve_no_hints.dfy
315,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_CachedContainer_no_hints.dfy
317,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_InfiniteTrees_no_hints.dfy
318,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_Iter_no_hints.dfy
319,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny3_Streams_no_hints.dfy
320,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ACL2-extractor_no_hints.dfy
324,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_Primes_no_hints.dfy
325,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from_dafny_main_repo_dafny0_snapshots_Inputs_Snapshots1_no_hints.dfy
327,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_lightening_verifier_no_hints.dfy
328,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_mathematical objects verification_examples_fast_exp_no_hints.dfy
329,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_mathematical objects verification_examples_interval_example_no_hints.dfy
332,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_pregel algorithms_skeleton_nondet-permutation_no_hints.dfy
334,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_KatzManna_no_hints.dfy
335,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_SumOfCubes_no_hints.dfy
336,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_verified algorithms_inductive_props_no_hints.dfy
337,Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_verified algorithms_lol_sort_no_hints.dfy
338,Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_04_Hoangkim_ex_04_Hoangkim_no_hints.dfy
341,Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_06_Hoangkim_ex_06_hoangkim_no_hints.dfy
343,Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_10_Hoangkim_ex10_hoangkim_no_hints.dfy
345,ProjectosCVS_tmp_tmp_02_gmcw_Handout 1_CVS_handout1_55754_55780_no_hints.dfy
346,QS_BoilerPlate1_tmp_tmpa29vtz9__Ex2_no_hints.dfy
352,SENG2011_tmp_tmpgk5jq85q_ass2_ex5_no_hints.dfy
364,Software-Verification_tmp_tmpv4ueky2d_Contains Duplicate_contains_duplicate_no_hints.dfy
366,Software-Verification_tmp_tmpv4ueky2d_Longest Increasing Subsequence_longest_increasing_subsequence_no_hints.dfy
367,Software-Verification_tmp_tmpv4ueky2d_Non-overlapping Intervals_non_overlapping_intervals_no_hints.dfy
368,Software-Verification_tmp_tmpv4ueky2d_Remove Duplicates from Sorted Array_remove_duplicates_from_sorted_array_no_hints.dfy
371,Software-Verification_tmp_tmpv4ueky2d_Valid Palindrome_valid_panlindrome_no_hints.dfy
372,Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula1_no_hints.dfy
375,Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula5_no_hints.dfy
376,Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_handout1_no_hints.dfy
377,Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_handout2_no_hints.dfy
381,VerifiedMergeSortDafny_tmp_tmpva7qms1b_MergeSort_no_hints.dfy
388,WrappedEther_no_hints.dfy
389,assertive-programming-assignment-1_tmp_tmp3h_cj44u_FindRange_no_hints.dfy
390,assertive-programming-assignment-1_tmp_tmp3h_cj44u_ProdAndCount_no_hints.dfy
391,assertive-programming-assignment-1_tmp_tmp3h_cj44u_SearchAddends_no_hints.dfy
392,bbfny_tmp_tmpw4m0jvl0_enjoying_no_hints.dfy
393,circular-queue-implemetation_tmp_tmpnulfdc9l_Queue_no_hints.dfy
395,cs245-verification_tmp_tmp0h_nxhqp_A8_Q1_no_hints.dfy
405,dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_ContainerRanks_no_hints.dfy
409,dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_PrecedenceLinter_no_hints.dfy
410,dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_SeqFromArray_no_hints.dfy
413,dafl_tmp_tmp_r3_8w3y_dafny_examples_uiowa_fibonacci_no_hints.dfy
416,dafleet_tmp_tmpa2e4kb9v_0001-0050_0001-two-sum_no_hints.dfy
417,dafleet_tmp_tmpa2e4kb9v_0001-0050_0003-longest-substring-without-repeating-characters_no_hints.dfy
418,dafleet_tmp_tmpa2e4kb9v_0001-0050_0005-longest-palindromic-substring_no_hints.dfy
419,dafny-aoc-2019_tmp_tmpj6suy_rv_parser_split_no_hints.dfy
421,dafny-duck_tmp_tmplawbgxjo_ex5_no_hints.dfy
422,dafny-duck_tmp_tmplawbgxjo_p1_no_hints.dfy
423,dafny-duck_tmp_tmplawbgxjo_p2_no_hints.dfy
426,dafny-duck_tmp_tmplawbgxjo_p6_no_hints.dfy
427,dafny-exercise_tmp_tmpouftptir_absIt_no_hints.dfy
434,dafny-exercise_tmp_tmpouftptir_prac1_ex2_no_hints.dfy
436,dafny-exercise_tmp_tmpouftptir_prac4_ex2_no_hints.dfy
439,dafny-exercises_tmp_tmp5mvrowrx_leetcode_26-remove-duplicates-from-sorted-array_no_hints.dfy
440,dafny-exercises_tmp_tmp5mvrowrx_paper_krml190_no_hints.dfy
442,dafny-language-server_tmp_tmpkir0kenl_Test_VSComp2010_Problem1-SumMax_no_hints.dfy
448,dafny-language-server_tmp_tmpkir0kenl_Test_dafny0_snapshots_Inputs_Snapshots0_no_hints.dfy
449,dafny-language-server_tmp_tmpkir0kenl_Test_dafny1_Cubes_no_hints.dfy
450,dafny-language-server_tmp_tmpkir0kenl_Test_dafny1_ListReverse_no_hints.dfy
451,dafny-language-server_tmp_tmpkir0kenl_Test_dafny1_MatrixFun_no_hints.dfy
454,dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_SegmentSum_no_hints.dfy
455,dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_TreeBarrier_no_hints.dfy
456,dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_TuringFactorial_no_hints.dfy
462,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_Fstar-QuickSort_no_hints.dfy
463,dafny-language-server_tmp_tmpkir0kenl_Test_dafny4_Lucas-down_no_hints.dfy
473,dafny-language-server_tmp_tmpkir0kenl_Test_hofs_Compilation_no_hints.dfy
474,dafny-language-server_tmp_tmpkir0kenl_Test_hofs_Requires_no_hints.dfy
478,dafny-language-server_tmp_tmpkir0kenl_Test_triggers_function-applications-are-triggers_no_hints.dfy
482,dafny-language-server_tmp_tmpkir0kenl_Test_vacid0_Composite_no_hints.dfy
485,dafny-learn_tmp_tmpn94ir40q_R01_functions_no_hints.dfy
491,dafny-rope_tmp_tmpl4v_njmy_Rope_no_hints.dfy
492,dafny-sandbox_tmp_tmp3tu2bu8a_Stlc_no_hints.dfy
496,dafny-synthesis_task_id_113_no_hints.dfy
571,dafny-synthesis_task_id_476_no_hints.dfy
577,dafny-synthesis_task_id_566_no_hints.dfy
589,dafny-synthesis_task_id_588_no_hints.dfy
597,dafny-synthesis_task_id_602_no_hints.dfy
610,dafny-synthesis_task_id_627_no_hints.dfy
613,dafny-synthesis_task_id_632_no_hints.dfy
616,dafny-synthesis_task_id_644_no_hints.dfy
639,dafny-synthesis_task_id_793_no_hints.dfy
657,dafny-training_tmp_tmp_n2kixni_session1_training1_no_hints.dfy
663,dafny_examples_tmp_tmp8qotd4ez_leetcode_0001-two-sum_no_hints.dfy
664,dafny_examples_tmp_tmp8qotd4ez_leetcode_0027-remove-element_no_hints.dfy
668,dafny_examples_tmp_tmp8qotd4ez_lib_math_DivMod_no_hints.dfy
669,dafny_examples_tmp_tmp8qotd4ez_test_shuffle_no_hints.dfy
670,dafny_experiments_tmp_tmpz29_3_3i_circuit_no_hints.dfy
673,dafny_projects_tmp_tmpjutqwjv4_tutorial_tutorial_no_hints.dfy
674,dafny_tmp_tmp2ewu6s7x_ListReverse_no_hints.dfy
676,dafny_tmp_tmp59p638nn_examples_GenericSelectionSort_no_hints.dfy
677,dafny_tmp_tmp59p638nn_examples_SelectionSort_no_hints.dfy
678,dafny_tmp_tmp59p638nn_examples_derangement_no_hints.dfy
679,dafny_tmp_tmp59p638nn_examples_minmax2_no_hints.dfy
681,eth2-dafny_tmp_tmpcrgexrgb_src_dafny_utils_SetHelpers_no_hints.dfy
685,formal-methods-in-software-engineering_tmp_tmpe7fjnek6_Labs4_gr2_no_hints.dfy
686,formal-verification_tmp_tmpoepcssay_strings3_no_hints.dfy
687,formal_verication_dafny_tmp_tmpwgl2qz28_Challenges_ex1_no_hints.dfy
690,formal_verication_dafny_tmp_tmpwgl2qz28_Challenges_ex7_no_hints.dfy
691,fv2020-tms_tmp_tmpnp85b47l_modeling_concurrency_safety_no_hints.dfy
692,fv2020-tms_tmp_tmpnp85b47l_simple_tm_no_hints.dfy
693,groupTheory_tmp_tmppmmxvu8h_assignment1_no_hints.dfy
698,iron-sync_tmp_tmps49o3tyz_lib_Base_MapRemove_no_hints.dfy
699,ironsync-osdi2023_tmp_tmpx80antoe_lib_Marshalling_Math_no_hints.dfy
700,ironsync-osdi2023_tmp_tmpx80antoe_lib_Math_div_def_no_hints.dfy
701,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_c++_arrays_no_hints.dfy
704,ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_git-issues_git-issue-1158_no_hints.dfy
714,libraries_tmp_tmp9gegwhqj_examples_MutableMap_MutableMapDafny_no_hints.dfy
716,llm-verified-eval_tmp_tmpd2deqn_i_dafny_160_no_hints.dfy
718,llm-verified-eval_tmp_tmpd2deqn_i_dafny_3_no_hints.dfy
721,metodosFormais_tmp_tmp4q2kmya4_T1-MetodosFormais_examples_ex1_no_hints.dfy
723,nitwit_tmp_tmplm098gxz_nit_no_hints.dfy
725,protocol-verification-fa2023_tmp_tmpw6hy3mjp_demos_ch01_fast_exp_no_hints.dfy
730,protocol-verification-fa2023_tmp_tmpw6hy3mjp_demos_ch04_toy_consensus_no_hints.dfy
735,protocol-verification-fa2023_tmp_tmpw6hy3mjp_exercises_chapter04-invariants_ch03exercise03_no_hints.dfy
736,pucrs-metodos-formais-t1_tmp_tmp7gvq3cw4_fila_no_hints.dfy
737,repo-8967-Ironclad_tmp_tmp4q25en_1_ironclad-apps_src_Dafny_Libraries_Util_seqs_simple_no_hints.dfy
738,sat_dfy_tmp_tmpfcyj8am9_dfy_Seq_no_hints.dfy
742,software-specification-p1_tmp_tmpz9x6mpxb_BoilerPlate_Ex1_no_hints.dfy
743,software_analysis_tmp_tmpmt6bo9sf_ss_no_hints.dfy
744,specTesting_tmp_tmpueam35lx_examples_binary_search_binary_search_specs_no_hints.dfy
745,specTesting_tmp_tmpueam35lx_examples_increment_decrement_spec_no_hints.dfy
746,specTesting_tmp_tmpueam35lx_examples_max_max_no_hints.dfy
747,specTesting_tmp_tmpueam35lx_examples_sort_sort_no_hints.dfy
748,stunning-palm-tree_tmp_tmpr84c2iwh_ch10_no_hints.dfy
750,stunning-palm-tree_tmp_tmpr84c2iwh_ch5_no_hints.dfy
756,summer-school-2020_tmp_tmpn8nf7zf0_chapter02_solutions_exercise03_solution_no_hints.dfy
761,t1_MF_tmp_tmpi_sqie4j_exemplos_colecoes_sequences_ex3_no_hints.dfy
769,veri-sparse_tmp_tmp15fywna6_dafny_concurrent_poc_6_no_hints.dfy
770,veri-sparse_tmp_tmp15fywna6_dafny_dspmspv_no_hints.dfy
771,veri-sparse_tmp_tmp15fywna6_dafny_spmv_no_hints.dfy
773,veribetrkv-osdi2020_tmp_tmpra431m8q_docker-hdd_src_veribetrkv-linear_lib_Base_SetBijectivity_no_hints.dfy
774,veribetrkv-osdi2020_tmp_tmpra431m8q_docker-hdd_src_veribetrkv-linear_lib_Base_Sets_no_hints.dfy
775,verification-class_tmp_tmpz9ik148s_2022_chapter05-distributed-state-machines_exercises_UtilitiesLibrary_no_hints.dfy
777,verified-using-dafny_tmp_tmp7jatpjyn_longestZero_no_hints.dfy
779,vfag_tmp_tmpc29dxm1j_mergesort_no_hints.dfy
781,vmware-verification-2023_tmp_tmpoou5u54i_demos_leader_election_no_hints.dfy
